Marca comercial,Ingrediente activo,CT,Unidad
ACENTO 90 ACA,ACETOCLOR,II,Lt
TEPPEKI,FLONICAMID,IV,Kg
EXOCET,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
PREFERENCE 75 WG,SULFENTRAZONE,III,Lt
BIOMETHIL MAX,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
ALFAMETRINA 10 SUMAGRO EC,ALFACIPERMETRINA,II,Lt
SILVZOLE,TEBUCONAZOLE,III,Lt
NICOBEST,NICOSULFURON,III,Gr/Kg
PICLORAM NOVA,PICLORAM EQUIVALENTE ACIDO,IV,Lt
KILATES,DIFENOCONAZOLE ,II,Lt
FIDEMAX CLORPIRIFOS 48,CLORPIRIFOS,II,Lt
CAAPOTI,EPOXICONAZOLE ,III,Lt
GAN X PLUS,NONIL FENOL ETOXILADO,III,Lt
TURBO,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
ADAMA ESSENTIALS RAINBOW EC,FLUROCLORIDONA,III,Lt
DUOZOLE ZURCOS,IMIDACLOPRID + TEBUCONAZOLE,III,Lt
ADAMA OXALIS 48 SC,FLUMIOXAZIN,III,Lt
BIOFUSION,LECITINA DE SOJA,IV,Lt
ARGOS,MESOTRIONE,III,Lt
PRO D 97 ESTER,"2,4-D EQUIVALENTE ACIDO",II,Lt
ROLLING,FLUROXIPIR MEPTIL + IMAZETAPIR,III,Lt
KATANA LPU,HALOXIFOP-P-METIL EQUIVALENTE ACIDO,III,Cm3/Lt
SOLUTION FULL,"2,4-D EQUIVALENTE ACIDO",II,Lt
FULL CONTROL BIO,ACIDO FOSFORICO,III,Lt
LUFENURON 5 EC STOCKTON,LUFENURON,IV,Lt
COMQUAT,PARAQUAT + DIURON,II,Lt
DELENTE CIPERMETRINA,CIPERMETRINA,II,Lt
MAXIM 3 INTEGRAL,TIAMETOXAM + TIABENDAZOL + FLUDIOXONIL + METALAXIL - M,III,Lt
MODELO LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
WEEDOWT SL,PARAQUAT,II,Lt
PARAQUAT FORMULAGRO,PARAQUAT,II,Lt
OILXTREM,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
EXCELL MT,ACEITE DE SOJA,IV,Lt
TEXARO,DICLOSULAM + HALAUXIFEN METIL,IV,Gr/Kg
BIFEN BH 25,BIFENTRIN,II,Lt
KINGDOM,METOMINOSTROBIN + TEBUCONAZOLE,II,Lt
SUNGUARD,SULFENTRAZONE,III,Kg
WEEDCLEAR 48,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
ARGENFRUT SUPREME GREEN WINTER,ACEITE MINERAL,IV,Lt
FACYT CHUZA,IMIDACLOPRID + CLORPIRIFOS,II,Lt
AZOXY 25 DVA,AZOXISTROBINA,III,Lt
CRUZA,BIFENTRIN + IMIDACLOPRID,II,Lt
PELICAN 50 WG,DIFLUFENICAN,III,Kg
VIS OIL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
FARM CHEMICALS PREMIUM MAX,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
CIPROBIN,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
AF PLUS LE,NONIL FENOL ETOXILADO,III,Lt
AR WATER ACONDICIONADOR DE AGUAS,NONIL FENOL ETOXILADO,III,Lt
FUEGO,PARAQUAT,III,Lt
"DAARGUS 2,4 D AMINA FULL","2,4-D",II,Lt
FIDEMAX LAMBDACIALOTRINA 5,LAMBDACIALOTRINA,II,Lt
ABAMEX SORBIE,ABAMECTINA,II,Gr/Kg
ACTIVE SIL,ACIDO FOSFORICO,III,Lt
ACTIVE SELECTO,ACIDO FOSFORICO,III,Lt
NERO SURCOS,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
VANTAL XL,ABAMECTINA,II,Cm3/Lt
MSO PLUS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
CIPERFOS,CIPERMETRINA + CLORPIRIFOS,II,Lt
BACKUP,CLORIMURON ETIL,III,Gr
MATRIX RED SURDOS,AMETRINA,II,Kg
PATRON,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
CLORIMURON SINON 25 WG,CLORIMURON ETIL,III,Kg
"PARAQUAT 27,6 RURALCO",PARAQUAT,III,Lt
KEMAZON II,PARAQUAT EQUIVALENTE PARAQUAT,III,Lt
HALOMAX 54,HALOXIFOP-P-METIL ESTER,II,Lt
PHILOIL METILADO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
DOMO OLEUM,ACEITE DE SOJA,IV,Cm3/Lt
LAMBDACIALOTRINA 25% KEMSURE ,LAMBDACIALOTRINA,II,Lt
"GLIFOSATO 75,7 SG KEMSURE",GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
ECOPROCHEM,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
LARGIN,LAMBDACIALOTRINA,II,Lt
ICEFATE 75,ACEFATO,II,Lt
METNATE,METIL TIOFANATO,II,Lt
SILOKEEP RATICIDA,BROMADIOLONE,Ia,Lt
GLIFOSATO SQ 62 SL ,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
MIFOS RACE,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ACTION AMONIO BRANAGRO,GLIFOSATO EQUIVALENTE ACIDO,III,Cm3/Lt
RUBRIC MAX,AZOXISTROBINA + EPOXICONAZOLE,II,Lt
ONSITE,CLOMAZONE,III,Lt
BAUNDAP MAX,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
PYRU,DICAMBA EQUIVALENTE ACIDO,III,Lt
IMPRESS,CARBOXIN + METIL TIOFANATO + METALAXIL +  ABAMECTINA + IMIDACLOPRID,II,Lt
CAPTAN ANDO FLO C,CAPTAN,III,Lt
FYSIUM,1-METILCICLOPROPENO,IV,--
"2,4 D ESTER MORTAL W","2,4-D EQUIVALENTE ACIDO",II,Lt
PYTA,CLETODIM,III,Lt
GLIFOSATO DRY ATANOR,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
YETI,AZOXISTROBINA,II,Lt
BLADE,FLOROXIPIR MEPTIL,III,Lt
CYRTOP SC,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
ARGEN OIL,ACEITE DE SOJA,IV,Cm3/Lt
VEGETOIL SURCOS,ACEITE DE SOJA REFINADO,IV,Lt
POTENZA TOP II,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
GLIFOSATO 54 P KEMSURE,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
DICAM - BAC,DICAMBA EQUIVALENTE ACIDO,IV,Lt
STOLLER METIL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
AZOTE,AZOXISTROBINA + TEBUCONAZOLE,IV,Lt
LIGIER GRASS,ALCOHOL GRASO ETOXILADO,IV,Lt
AG PRO,NONIL FENOL ETOXILADO,III,Lt
CUPERTINE M FALCROP,SULFATO TETRACUPRICO TRICALCICO + MANCOZEB,II,Kg
AERO FT 43,TEBUCONAZOLE,III,Lt
ARMETIL COBRE FALCROP,METALAXIL + OXICLORURO DE COBRE,III,Gr/Kg
SAPPER,BIFENTRIN,II,Lt
"2,4 D 60 SIGMA","2,4-D EQUIVALENTE ACIDO",II,Lt
FROWNCIDE SC 50 %,FLUAZINAM,IV,Lt
"ARA 2,4 D","2,4-D EQUIVALENTE ACIDO",III,Lt
NUFARM ZETHA MAXX,IMAZETAPIR + FLUMIOXAZIN,III,Lt
PITBULL,IMIDACLOPRID + BIFENTRIN + ABAMECTINA,II,Lt
SANSON OD 4% LPU,NICOSULFURON,IV,Lt
CAMPO QUAT 20 SL,DIQUAT DIBROMURO,II,Lt
ENLARGER,AZOXISTROBINA + TEBUCONAZOLE,IV,Lt
RANGER 24 SL,PICLORAM EQUIVALENTE ACIDO,III,Lt
NUCLEUS,PICLORAM EQUIVALENTE ACIDO,III,Lt
LANCER GOLD,ACEFATO + IMIDACLOPRID,II,Kg
PROMINENS,GLUFOSINATO DE AMONIO,IV,Lt
SALTUM,SULFENTRAZONE,III,Lt
VENDAVAL DIFLUFENICAN 50 SC,DIFLUFENICAN,IV,Lt
STOLLER METALAXIL,METALAXIL,II,ml/Lt
EMAS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
ATRANEX 90,ATRAZINA,IV,Kg
YPF ATRAZINA GRANULADA HD,ATRAZINA,IV,Kg
LOGIC,BIFENTRIN + IMIDACLOPRID,II,Lt
CAMPUS,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
CAMPO-NICO LPU,NICOSULFURON,III,Lt
PROGIBB 40 SG,ACIDO GIBERELICO,IV,Kg/Gr
TERRO CLEAN,"1,3-DICLOROPROPENO + CLOROPICRINA",Ia,Lt
METOMIL FARM CHEMICALS,METOMIL,Ib,Gr
COADYUVANTE ACTION,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
FIDEMAX DIFENOCONAZOLE 25,DIFENOCONAZOLE ,IV,Lt
MOAV SUPER,SULFENTRAZONE + METRIBUZIN,II,Lt
YPF CLETODIM HD,CLETODIM,III,Lt
CLOPYRALID NOVA,CLOPIRALID  SAL MONOAMONICA DEL ACIDO,IV,Lt
STRIKE PLUS,"1,3-DICLOROPROPENO + CLOROPICRINA",Ia,Lt
SULFENTRAZONE AGROS 75 WG,SULFENTRAZONE,III,Kg
ONTARIO,IMAZAPIR SAL ISOPROPILAMINA,IV,Lt
GRILLETE,CARBENDAZIM + TIRAM,III,Lt
PILSAR GOLD,LAMBDACIALOTRINA,II,Lt
ADAMA ESSENTIAALS ARROWS 24,CLETODIM,III,Lt
CLORPIRIFOS 48 CHEMPRO ,CLORPIRIFOS,II,Lt
TRIASULFURON ZAMBA,TRIASULFURON,III,Kg
LARGIN EC,LAMBDACIALOTRINA,II,Lt
BIO NASS,LECITINA DE SOJA,IV,Lt
PORCEL,PYRIPROXIFEN,III,Lt
KING 50,"2,4-D",II,Lt
AGRON 100,EXTRACTO DE AJO,IV,Lt
CONTROL R,EXTRACTO DE AJO,IV,Lt
REPEL X,EXTRACTO DE AJO,IV,Lt
HALOX,HALOXIFOP-P-METIL ESTER,III,Lt
GLIFO BAC NH,GLIFOSATO,IV,Lt
ZIMBA,GLIFOSATO,IV,Lt
ACTION MAX II,GLIFOSATO,III,Kg
METOLACLORO SUMAGRO,METOLACLORO,II,Lt
FUNGIZEB,MANCOZEB,III,Kg
SULFENAX 50,SULFENTRAZONE,III,Lt
GLIFOSATO SIGMA MAX,GLIFOSATO,IV,Kg
DIFAZ,AZOXISTROBINA + DIFENOCONAZOLE,III,Lt
YUNKE AGROS,TEBUCONAZOLE + TIRAM,III,Lt
PROSULFURON ZAMBA,PROSULFURON,II,Gr
CARB TH,CARBENDAZIM + TIRAM,II,Lt
"GLIFOSATO SUMAGRO 66,2",GLIFOSATO,IV,Lt
SOYVANCE PFE,IMAZAPIC + IMAZAPIR ,III,Gr
TROPA 60 WG,METSULFURON METIL,IV,Gr
GLIFOMAX GS  ZAMBA,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
ACTION FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
FOXTROT,FENOXAPROP-P-ETIL,III,Lt
BIOL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
ZORVEC ENICADE,OXATHIAPIPROLIN,IV,Lt
GLUFOSINATO DE AMONIO SIGMA,GLUFOSINATO DE AMONIO,III,Lt
DIPEL DF,BACILLUS THURINGIENSIS,IV,Gr/Kg
ARAPOTY,AZOXISTROBINA,III,Lt
OPTIONS ADVANCE FS BLUE,CARBOXIN + METIL TIOFANATO + METALAXIL + CAPTAN,IV,Lt
FACYT TBZ 6,TEBUCONAZOLE,III,Lt
HAMET ,ACETOCLOR,III,Lt
TEMPLUS,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
"FACYT 2,4 D","2,4-D",II,Lt
NITRASOIL METIL POWER,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
ARMETIL M FALCROP,METALAXIL + MANCOZEB,III,Lt
MIFOS P,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
PYROLIS,IMAZETAPIR EQUIVALENTE ACIDO,IV,Lt
MAXIM RFC,FLUDIOXONIL + METALAXIL M,IV,Lt
FENIX 20 EW,ZETAMETRINA,II,Lt
GLIFOSATO FULL GC,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
MAYNER,ACEITE MINERAL,III,Lt
CACIDA,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
ASGARD T,CLETODIM,III,Lt
DACTYL,CLETODIM,III,Lt
MELTHIS DUO,IMIDACLOPRID + LAMBDACIALOTRINA,III,Lt
TORCH XTRA,"PICLORAM + 2,4 D ",III,Kg
MELTHIS FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,--
TIMEROL,TIAMETOXAM,III,Kg
HALCON MELTHIS,IMIDACLOPRID,II,Lt
ATRAFINA 50,ATRAZINA,II,Lt
GRANERO ATRAZINA,ATRAZINA,II,Lt
TRAC 50 C,ATRAZINA,II,Lt
PRINZ,FIPRONIL,II,Gr
LEXONE FARM CHEMICALS,METRIBUZIN,III,Kh
PALA ACTIVE TOTAL,ALCOHOL LINEAL ETOXILADO,II,Lt
BIOSPRAY EXTREME,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
PANTHER FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
SUBLO,FLUROXIPIR MEPTIL  + IMAZETAPIR,III,Lt
PLUG,HALOXIFOP-P-METIL + QUIZALOFOP-P-METIL,II,Lt
SOK FORTE 25,BIFENTRIN,II,Lt
CLEANER,AZOXISTROBINA,IV,Lt
GLYNOMYL NH,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GENOGOR 40 EC,DIMETOATO,II,Lt
PERLAN,GIBERELINA A4 A7 + 6 BENCILADENINA,III,Lt
ROLEN,OXIFLUORFEN,III,Lt
ACTIVE AD,ACIDO FOSFORICO,III,Lt
FOSATO PREMIUM DRY,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
SNIPER DRY,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
POWER MAXX,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
GLIFOCOOP,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
POSSE EXTRA,BIFENTRIN + CARBOSULFAN,II,Lt
FENT 10,BIFENTRIN,II,Lt
PAZUCO AGROS,METRIBUZIN,II,Lt
ADHEROLLA,HALOXIFOP-P-METIL,III,Lt
MASPOR,METOLACLORO,III,Lt
SOYA FLAG,FOMESAFEN,III,Lt
FLUTOP,FLUTRIAFOL,IV,Lt
MR SHERIFF ANIKILATOR MAX,QUIZALOFOP-P-ETIL,III,Lt
TAMIZ,AZOXISTROBINA + TEBUCONAZOLE,II,Lt
MAVERICK AGROS,SULFENTRAZONE,III,Lt
SUFLOMAX,SULFENTRAZONE,III,Kg
PICLO,PICLORAM EQUIVALENTE ACIDO,IV,Lt
ACEITE METILADO AKTIV,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
ECO CAMPO PLUS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
PITCHER NEW,CLETODIM,III,Lt
POWEROIL SURCOS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
PYRMAX,IMAZAPIR EQUIVALENTE ACIDO,III,Lt
ACURON GOLD,S-METOLACLORO + BICICLOPIRONA,III,Lt
SISTIVA,FLUXAPYROXAD ,III,Lt
ENLIST,"2,4-D EQUIVALENTE ACIDO",II,Lt
FOMESAFEN 25 DVA,FOMESAFEN EQUIVALENTE ACIDO,IV,Lt
METRIBUZIN 48 DVA,METRIBUZIN,II,Lt
ROUNDUP XT,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
DAKAR,MYCLOBUTANIL,III,Lt
DIZOLE  ,DIFENOCONAZOLE ,III,Lt
ACTIVE,ACIDO FOSFORICO,III,Lt
ENOIL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
CLETODIM SIGMA,CLETODIM,III,Lt
ABAMMAX,ABAMECTINA,II,Lt
OXYGRN,DIFENOCONAZOLE + METALAXIL + IPRODIONE,III,Lt
CREOX,SULFENTRAZONE,III,Lt
DAARGUS LAMBDA 25 ME,LAMBDACIALOTRINA,II,Lt
ARTERO,SULFENTRAZONE,II,Lt
CLETHODIM 24 EC,CLETODIM,III,Lt
CLETHODIM EC,CLETODIM,III,Lt
GLIFOSATO PREMIUM RURALCO,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
CONFIDENCE XTRA WG II,AZOXISTROBINA + CYPROCONAZOLE,III,Kg
ASOMBROSO,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
DINOZETA,IMAZETAPIR EQUIVALENTE ACIDO,IV,Lt
SUPEROIL,ACEITE DE SOJA,IV,Lt
FOMESAFEN 24 SL,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
"ADOC 25,2",FOMESAFEN EQUIVALENTE ACIDO,III,Lt
"DOGO ACA 27,6 SL",PARAQUAT DICLORURO EQUIVALENTE ACIDO,III,Lt
BENEFIT 15%,ALFACIPERMETRINA,II,Lt
INTENSITY,CLETODIM,III,Lt
"GRANERO 2,4-D AMINA NV","2,4-D EQUIVALENTE ACIDO",II,Lt
TRINPRID 3-10,BIFENTRIN + IMIDACLOPRID,II,Lt
PUKAVI,IMIDACLOPRID + TIODICARB,II,Lt
CALIBAN,TIACLOPRID,II,Lt
HACHAZO,HEXAZINONA + DIURON,III,Kg
PALA OLEO TRIPLE ACCION,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
GLIFOPOTASICO SIGMA,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
TRUENO,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
LUFENURON CONTROLER,LUFENURON,IV,Lt
CLEDDIX,CLETODIM,III,Lt
PULVER 48,CLORPIRIFOS,II,Lt
MOSBER 48,CLORPIRIFOS,II,Lt
GREEN CLETODIM 24,CLETODIM,III,Lt
FIDEMAX ACEITE AGRICOLA  85,ACEITE DE SOJA,IV,Lt
"HALOXIFOP 12,5 CONTROLER",HALOXIFOP-P-METIL ESTER EQUIVALENTE ACIDO,III,Lt
DEFERON,"2,4-D EQUIVALENTE ACIDO",II,Lt
NV ATANOR C,"2,4-D EQUIVALENTE ACIDO",II,Lt
MAZETA,IMAZETAPIR EQUIVALENTE ACIDO,IV,Lt
GLYSIUM,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
"GLIFOTOP LQ 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
SITRIN II,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ORION FORTE,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
HELLION,BENZOATO DE EMAMECTINA + LUFENURON,III,Lt
METRIBUZIN NOVA,METRIBUZIN,III,Lt
PROCORE,DICLOSULAM  ,III,Gr/Kg
DIFLUBENZURON AGROS,DIFLUBENZURON,IV,Kg
GLYNOMYL PREMIUM II,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
AGROFEN 24 EC,OXIFLUORFEN,III,Lt
SARMAC,FENOXAPROP-P-ETIL ,IV,Lt
GREEN DOS,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
METOLACHLOR EC,METOLACLORO,III,Lt
METOLACHLOR 96,METOLACLORO,III,Lt
STARLING,PENDIMETALIN,III,Lt
PICLORAM TECNOMUL,PICLORAM EQUIVALENTE ACIDO,III,Lt
CIALOTRIN 25,LAMBDACIALOTRINA,II,Lt
TOWERSPRAY LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
QUECLENA LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
MANCOZENT,MANCOZEB,III,Kg
TRENCH,PARAQUAT DICLORURO EQUIVALENTE ACIDO,III,Lt
ACEITE GRHESA EC,ACEITE MINERAL,III,Lt
TITUS,RIMSULFURON,III,Gr/Kg
"VENDAVAL 2,4D ESTER","2,4-D EQUIVALENTE ACIDO",II,Lt
GLORY,MANCOZEB + AZOXISTROBINA,IV,Kg
TARPAN FOL,METALAXIL,II,Lt
NUPROIL,ACEITE DE SOJA,IV,Lt
MAGNUM MAX AGROS ,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
IMIDAGOLD FS PARA SEMILLEROS,IMIDACLOPRID,III,Lt
S-MASPOR,S-METOLACLORO,II,Lt
TROLIAM,PICLORAM EQUIVALENTE ACIDO,IV,Lt
ULTERIOR,HALOXIFOP-P-METIL + QUIZALOFOP-P-ETIL,II,Lt
ZAPHYR 75 WG,IMAZETAPIR,IV,Kg
HIDROXICOBRE WP,HIDROXIDO CUPRICO,II,Kg
DALONG,PARAQUAT DICLORURO + DIURON,II,Lt
DICAMBA ATANOR A,DICAMBA EQUIVALENTE ACIDO,III,Lt
BIO EMAG 76,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
SYNERGI,AZOXISTROBINA + METIL TIOFANATO + METALAXIL,III,Lt
MEPICOT,MEPIQUAT CLORURO,IV,Lt
KYLIAN 24,CLETODIM,III,Lt
HERBIFEN AD,"2,4-D EQUIVALENTE ACIDO",II,Lt
TEKOVE,MESOTRIONE,III,Lt
AGROSTOM 33 EC,PENDIMETALIN,II,Lt
ZAFIRO,IMAZAPIC + IMAZAPIR ,IV,Kg
COADYUVANTE FACYT ECOMAX,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
BASTEX,GLUFOSINATO DE AMONIO,III,Lt
TEBU 6,TEBUCONAZOLE,III,Lt
SULFOGLIF 62,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
LUPO,LUFENURON + PROFENOFOS,II,Lt
ASISTENTE LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
RD MAX LE,NONIL FENOL ETOXILADO,III,Lt
TRIBU,METRIBUZIN,III,Lt
AZOXICONASOLE SC,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
CENTAURO,CLETODIM,III,Lt
ADALID,CLOPIRALID EQUIVALENTE ACIDO,IV,Lt
SUBITO,CLOPIRALID EQUIVALENTE ACIDO,IV,Lt
METRIBUZIN FORMULAGRO,METRIBUZIN,III,Lt
GLIFOSATO LARTI I,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ALTAR,FLUROXIPIR MEPTIL,III,Lt
RESOPLO,FLUROXIPIR MEPTIL,III,Lt
LECITINA DE SOJA AI-BAR,LECITINA DE SOJA,IV,Lt
UP-STAGE,CLOMAZONE,III,Lt
"2,4-D 70 NUFARM","2,4-D EQUIVALENTE ACIDO",II,Lt
VENCEWEED EXTRA B,"2,4-D EQUIVALENTE ACIDO",II,Lt
VENCEWEED EXTRA C,"2,4-D EQUIVALENTE ACIDO",II,Lt
THUNDER,FOMESAFEN,IV,Lt
AUSTRAL MAX,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
SUPERIOR,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
MAGIC,ALFACIPERMETRINA,II,Lt
BORDESOL,SULFATO TETRACUPRICO TRICALCICO  EQUIVALENTE COBRE,III,Kg
FLOWFEN,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
"2,4-D ESTER LGA","2,4-D EQUIVALENTE ACIDO",II,Lt
GLIFOSATO MELTHIS MAX,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
METIL TIOFANATO 50 SC PROVENTIS,METIL TIOFANATO,III,Lt
AGROMID 35 SC,IMIDACLOPRID,III,Lt
ECO ADHERENTE AKTIV,ALCOHOL LAURICO ETOXILADO,III,Lt
CLEANER PLUS,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
XTENDICAM,DICAMBA EQUIVALENTE ACIDO,IV,Lt
ADAMA BENDER,"2,4-DB EQUIVALENTE ACIDO",II,Lt
CUPROSO WG,OXIDO CUPROSO,II,Kg
VIRAJE XT,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
COVER 5,LAMBDACIALOTRINA,II,Lt
FIDEMAX SULFENTRAZONE 50,SULFENTRAZONE,IV,Lt
METILADO SILICONADO ARN EBC,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
EVITO T MIX,FLUOXASTROBIN + TEBUCONAZOLE,IV,Lt
SOK FORTE,BIFENTRIN,II,Lt
MORRIGAN,DICLOSULAM,IV,Kg
NOZOMI,FLUMIOXAZIN,IV,Lt
GRAN OIL,ACEITE VEGETAL DE SOJA,IV,Lt
CLOVEN 25,CLORIMURON ETIL,III,Gr
TYPHOON 54,HALOXIFOP-P-METIL,II,Lt
PROPICONAZOLE 25 RAINBOW,PROPICONAZOLE,III,Lt
ECO TWISTER RAIN,ALCOHOL LAURICO ETOXILADO,III,Lt
BENEFIT XTRA,BIFENTRIN,II,Lt
ARDAC,FLUROXIPIR MEPTIL,III,Lt
ADOC SL,FOMESAFEN,III,Lt
TOTAL SUPER EVOLUTION,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ADAMA ESSENTIALS PYRINEX 48,CLORPIRIFOS,II,Lt
GLINICE,GLIFOSATO,IV,Lt
CENTUR,CLETODIM,III,Lt
FIPRONIL 80 RAINBOW,FIPRONIL,II,Kg
VICKING,AZOXISTROBINA + FLUTRIAFOL,III,Lt
WARRIOR,AZOXISTROBINA + FLUTRIAFOL,III,Lt
GLADIUS,ACETOCLOR,III,Lt
NUFARM AZBANY MAXX,FLUROXIPIR MEPTIL,III,Lt
NUFARM VALDO,FLUMETSULAM,III,Kg
BRUJO,PICLORAM EQUIVALENTE ACIDO,II,Lt
ECO POTENT K,ALCOHOL LAURICO ETOXILADO,III,Lt
INSYST,ABAMECTINA + PROFENOFOS,II,Lt
NICOSH 75 WG,NICOSULFURON,III,Kg
COADYUVANTE ESPACIAL TRIPLKE EFECTO FACYT,ALCOHOL LAURICO ETOXILADO,III,Gr
BORDER,AZOXISTROBINA + FLUTRIAFOL,III,Lt
ECO VIRA RED,ALCOHOL LAURICO ETOXILADO,III,Lt
CUMPA,AZOXISTROBINA + CYPROCONAZOLE,III,Cm3
AZOXI 20+CIPPRO 8 SC PROVENTIS,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
KULT,HALOXIFOP-P-METIL,III,Lt
GLIFOSATO FULL II LYCSA,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
FLEXTAR GT,GLIFOSATO EQUIV.ACIDO + FOMESAFEN EQIV.ACIDO,IV,Lt
ACEITE VEGETAL AKTIV,ACEITE DE SOJA,IV,Lt
TIODICARB 80 DVA,TIODICARB,II,Kg
CLORIMURON 75 MAX SIGMA,CLORIMURON ETIL,III,Kg
NUTAR,TIAMETOXAM,III,Lt
WEEDAMINA 72 SL,"2,4-D",II,Lt
BISPIRON,BISPIRIBAC SODIO,III,Lt
ASAX 24,PICLORAM EQUIVALENTE ACIDO,III,Lt
FIDEPLUS IMIDA + LAMBDA,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
GLADIUS CROSS,ACETOCLOR,III,Lt
FRONTIER P,DIMETENAMIDA-P,II,Lt
"HARVISTA 1,3 SC",1-METILCICLOPROPENO EQUIVALENTE ACIDO,IV,Lt
ARALAMBDA 25,LAMBDACIALOTRINA,II,Lt
RID GONE,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
